"Description";"Native";"Bytes";"R-encoding"
"TENNIS RACQUET AND BALL";"🎾";"\xF0\x9F\x8E\xBE";"<ed><a0><bc><ed><be><be>"
"TENT";"⛺";"\xE2\x9B\xBA";"<e2><9b><ba>"
"THOUGHT BALLOON";"💭";"\xF0\x9F\x92\xAD";"<ed><a0><bd><ed><b2><ad>"
"THUMBS DOWN SIGN";"👎";"\xF0\x9F\x91\x8E";"<ed><a0><bd><ed><b1><8e>"
"THUMBS UP SIGN";"👍";"\xF0\x9F\x91\x8D";"<ed><a0><bd><ed><b1><8d>"
"TICKET";"🎫";"\xF0\x9F\x8E\xAB";"<ed><a0><bc><ed><be><ab>"
"TIGER";"🐅";"\xF0\x9F\x90\x85";"<ed><a0><bd><ed><b0><85>"
"TIGER FACE";"🐯";"\xF0\x9F\x90\xAF";"<ed><a0><bd><ed><b0><af>"
"TIRED FACE";"😫";"\xF0\x9F\x98\xAB";"<ed><a0><bd><ed><b8><ab>"
"TOILET";"🚽";"\xF0\x9F\x9A\xBD";"<ed><a0><bd><ed><ba><bd>"
"TOKYO TOWER";"🗼";"\xF0\x9F\x97\xBC";"<ed><a0><bd><ed><b7><bc>"
"TOMATO";"🍅";"\xF0\x9F\x8D\x85";"<ed><a0><bc><ed><bd><85>"
"TONGUE";"👅";"\xF0\x9F\x91\x85";"<ed><a0><bd><ed><b1><85>"
"TOP HAT";"🎩";"\xF0\x9F\x8E\xA9";"<ed><a0><bc><ed><be><a9>"
"TOP WITH UPWARDS ARROW ABOVE";"🔝";"\xF0\x9F\x94\x9D";"<ed><a0><bd><ed><b4><9d>"
"TRACTOR";"🚜";"\xF0\x9F\x9A\x9C";"<ed><a0><bd><ed><ba><9c>"
"TRADE MARK SIGN";"™";"\xE2\x84\xA2";"<e2><84><a2>"
"TRAIN";"🚆";"\xF0\x9F\x9A\x86";"<ed><a0><bd><ed><ba><86>"
"TRAM";"🚊";"\xF0\x9F\x9A\x8A";"<ed><a0><bd><ed><ba><8a>"
"TRIANGULAR FLAG ON POST";"🚩";"\xF0\x9F\x9A\xA9";"<ed><a0><bd><ed><ba><a9>"
"TRIANGULAR RULER";"📐";"\xF0\x9F\x93\x90";"<ed><a0><bd><ed><b3><90>"
"TRIDENT EMBLEM";"🔱";"\xF0\x9F\x94\xB1";"<ed><a0><bd><ed><b4><b1>"
"TROLLEYBUS";"🚎";"\xF0\x9F\x9A\x8E";"<ed><a0><bd><ed><ba><8e>"
"TROPHY";"🏆";"\xF0\x9F\x8F\x86";"<ed><a0><bc><ed><bf><86>"
"TROPICAL DRINK";"🍹";"\xF0\x9F\x8D\xB9";"<ed><a0><bc><ed><bd><b9>"
"TROPICAL FISH";"🐠";"\xF0\x9F\x90\xA0";"<ed><a0><bd><ed><b0><a0>"
"TRUMPET";"🎺";"\xF0\x9F\x8E\xBA";"<ed><a0><bc><ed><be><ba>"
"TULIP";"🌷";"\xF0\x9F\x8C\xB7";"<ed><a0><bc><ed><bc><b7>"
"TURTLE";"🐢";"\xF0\x9F\x90\xA2";"<ed><a0><bd><ed><b0><a2>"
"TWISTED RIGHTWARDS ARROWS";"🔀";"\xF0\x9F\x94\x80";"<ed><a0><bd><ed><b4><80>"
"TWO HEARTS";"💕";"\xF0\x9F\x92\x95";"<ed><a0><bd><ed><b2><95>"
"TWO MEN HOLDING HANDS";"👬";"\xF0\x9F\x91\xAC";"<ed><a0><bd><ed><b1><ac>"
"TWO WOMEN HOLDING HANDS";"👭";"\xF0\x9F\x91\xAD";"<ed><a0><bd><ed><b1><ad>"
"UMBRELLA WITH RAIN DROPS";"☔";"\xE2\x98\x94";"<e2><98><94>"
"UNAMUSED FACE";"😒";"\xF0\x9F\x98\x92";"<ed><a0><bd><ed><b8><92>"
"UP DOWN ARROW";"↕";"\xE2\x86\x95";"<e2><86><95>"
"UP-POINTING RED TRIANGLE";"🔺";"\xF0\x9F\x94\xBA";"<ed><a0><bd><ed><b4><ba>"
"UP-POINTING SMALL RED TRIANGLE";"🔼";"\xF0\x9F\x94\xBC";"<ed><a0><bd><ed><b4><bc>"
"UPWARDS BLACK ARROW";"⬆";"\xE2\xAC\x86";"<e2><ac><86>"
"VERTICAL TRAFFIC LIGHT";"🚦";"\xF0\x9F\x9A\xA6";"<ed><a0><bd><ed><ba><a6>"
"VIBRATION MODE";"📳";"\xF0\x9F\x93\xB3";"<ed><a0><bd><ed><b3><b3>"
"VICTORY HAND";"✌";"\xE2\x9C\x8C";"<e2><9c><8c>"
"VIDEO CAMERA";"📹";"\xF0\x9F\x93\xB9";"<ed><a0><bd><ed><b3><b9>"
"VIDEO GAME";"🎮";"\xF0\x9F\x8E\xAE";"<ed><a0><bc><ed><be><ae>"
"VIDEOCASSETTE";"📼";"\xF0\x9F\x93\xBC";"<ed><a0><bd><ed><b3><bc>"
"VIOLIN";"🎻";"\xF0\x9F\x8E\xBB";"<ed><a0><bc><ed><be><bb>"
"VIRGO";"♍";"\xE2\x99\x8D";"<e2><99><8d>"
"VOLCANO";"🌋";"\xF0\x9F\x8C\x8B";"<ed><a0><bc><ed><bc><8b>"
"WANING CRESCENT MOON SYMBOL";"🌘";"\xF0\x9F\x8C\x98";"<ed><a0><bc><ed><bc><98>"
"WANING GIBBOUS MOON SYMBOL";"🌖";"\xF0\x9F\x8C\x96";"<ed><a0><bc><ed><bc><96>"
"WARNING SIGN";"⚠";"\xE2\x9A\xA0";"<e2><9a><a0>"
"WATCH";"⌚";"\xE2\x8C\x9A";"<e2><8c><9a>"
"WATER BUFFALO";"🐃";"\xF0\x9F\x90\x83";"<ed><a0><bd><ed><b0><83>"
"WATER CLOSET";"🚾";"\xF0\x9F\x9A\xBE";"<ed><a0><bd><ed><ba><be>"
"WATER WAVE";"🌊";"\xF0\x9F\x8C\x8A";"<ed><a0><bc><ed><bc><8a>"
"WATERMELON";"🍉";"\xF0\x9F\x8D\x89";"<ed><a0><bc><ed><bd><89>"
"WAVING HAND SIGN";"👋";"\xF0\x9F\x91\x8B";"<ed><a0><bd><ed><b1><8b>"
"WAVY DASH";"〰";"\xE3\x80\xB0";"<e3><80><b0>"
"WAXING CRESCENT MOON SYMBOL";"🌒";"\xF0\x9F\x8C\x92";"<ed><a0><bc><ed><bc><92>"
"WAXING GIBBOUS MOON SYMBOL";"🌔";"\xF0\x9F\x8C\x94";"<ed><a0><bc><ed><bc><94>"
"WEARY CAT FACE";"🙀";"\xF0\x9F\x99\x80";"<ed><a0><bd><ed><b9><80>"
"WEARY FACE";"😩";"\xF0\x9F\x98\xA9";"<ed><a0><bd><ed><b8><a9>"
"WEDDING";"💒";"\xF0\x9F\x92\x92";"<ed><a0><bd><ed><b2><92>"
"WHALE";"🐋";"\xF0\x9F\x90\x8B";"<ed><a0><bd><ed><b0><8b>"
"WHEELCHAIR SYMBOL";"♿";"\xE2\x99\xBF";"<e2><99><bf>"
"WHITE DOWN POINTING BACKHAND INDEX";"👇";"\xF0\x9F\x91\x87";"<ed><a0><bd><ed><b1><87>"
"WHITE EXCLAMATION MARK ORNAMENT";"❕";"\xE2\x9D\x95";"<e2><9d><95>"
"WHITE FLOWER";"💮";"\xF0\x9F\x92\xAE";"<ed><a0><bd><ed><b2><ae>"
"WHITE HEAVY CHECK MARK";"✅";"\xE2\x9C\x85";"<e2><9c><85>"
"WHITE LARGE SQUARE";"⬜";"\xE2\xAC\x9C";"<e2><ac><9c>"
"WHITE LEFT POINTING BACKHAND INDEX";"👈";"\xF0\x9F\x91\x88";"<ed><a0><bd><ed><b1><88>"
"WHITE MEDIUM SMALL SQUARE";"◽";"\xE2\x97\xBD";"<e2><97><bd>"
"WHITE MEDIUM SQUARE";"◻";"\xE2\x97\xBB";"<e2><97><bb>"
"WHITE MEDIUM STAR";"⭐";"\xE2\xAD\x90";"<e2><ad><90>"
"WHITE QUESTION MARK ORNAMENT";"❔";"\xE2\x9D\x94";"<e2><9d><94>"
"WHITE RIGHT POINTING BACKHAND INDEX";"👉";"\xF0\x9F\x91\x89";"<ed><a0><bd><ed><b1><89>"
"WHITE SMALL SQUARE";"▫";"\xE2\x96\xAB";"<e2><96><ab>"
"WHITE SMILING FACE";"☺";"\xE2\x98\xBA";"<e2><98><ba>"
"WHITE SQUARE BUTTON";"🔳";"\xF0\x9F\x94\xB3";"<ed><a0><bd><ed><b4><b3>"
"WHITE UP POINTING BACKHAND INDEX";"👆";"\xF0\x9F\x91\x86";"<ed><a0><bd><ed><b1><86>"
"WHITE UP POINTING INDEX";"☝";"\xE2\x98\x9D";"<e2><98><9d>"
"WIND CHIME";"🎐";"\xF0\x9F\x8E\x90";"<ed><a0><bc><ed><be><90>"
"WINE GLASS";"🍷";"\xF0\x9F\x8D\xB7";"<ed><a0><bc><ed><bd><b7>"
"WINKING FACE";"😉";"\xF0\x9F\x98\x89";"<ed><a0><bd><ed><b8><89>"
"WOLF FACE";"🐺";"\xF0\x9F\x90\xBA";"<ed><a0><bd><ed><b0><ba>"
"WOMAN";"👩";"\xF0\x9F\x91\xA9";"<ed><a0><bd><ed><b1><a9>"
"WOMAN WITH BUNNY EARS";"👯";"\xF0\x9F\x91\xAF";"<ed><a0><bd><ed><b1><af>"
"WOMANS BOOTS";"👢";"\xF0\x9F\x91\xA2";"<ed><a0><bd><ed><b1><a2>"
"WOMANS CLOTHES";"👚";"\xF0\x9F\x91\x9A";"<ed><a0><bd><ed><b1><9a>"
"WOMANS HAT";"👒";"\xF0\x9F\x91\x92";"<ed><a0><bd><ed><b1><92>"
"WOMANS SANDAL";"👡";"\xF0\x9F\x91\xA1";"<ed><a0><bd><ed><b1><a1>"
"WOMENS SYMBOL";"🚺";"\xF0\x9F\x9A\xBA";"<ed><a0><bd><ed><ba><ba>"
"WORRIED FACE";"😟";"\xF0\x9F\x98\x9F";"<ed><a0><bd><ed><b8><9f>"
"WRAPPED PRESENT";"🎁";"\xF0\x9F\x8E\x81";"<ed><a0><bc><ed><be><81>"
"WRENCH";"🔧";"\xF0\x9F\x94\xA7";"<ed><a0><bd><ed><b4><a7>"
"YELLOW HEART";"💛";"\xF0\x9F\x92\x9B";"<ed><a0><bd><ed><b2><9b>"
